"spcd","Increase","Neutral","Decrease","Total"
"ABCO","95% (53)","0% (0)","5% (3)",56
"ABMAS","0% (0)","100% (1)","0% (0)",1
"ACMA","86% (6)","14% (1)","0% (0)",7
"ARME","93% (98)","5% (5)","2% (2)",105
"CADE","83% (35)","17% (7)","0% (0)",42
"CHCH","96% (26)","4% (1)","0% (0)",27
"CHLA","100% (1)","0% (0)","0% (0)",1
"LIDE","94% (30)","3% (1)","3% (1)",32
"PIJE","0% (0)","0% (0)","100% (1)",1
"PILA","57% (30)","38% (20)","6% (3)",53
"PIPO","42% (34)","23% (19)","35% (28)",81
"PSME","91% (143)","4% (7)","4% (7)",157
"QUCH","97% (35)","3% (1)","0% (0)",36
"QUGA","100% (7)","0% (0)","0% (0)",7
"QUKE","80% (59)","11% (8)","9% (7)",74
"TABR","100% (8)","0% (0)","0% (0)",8
"UMCA","100% (4)","0% (0)","0% (0)",4
