"site_name","TPH","tph_2011","Baph","baph_2011","SDI","sdi_2011","RDI","rdi_2011","QMD","qmd_2011"
"Ashland","109.2 (102.3)","446.4 (223.8)","14.8 (14.9)","45.1 (15.1)","72.6 (58.4)","286.7 (89.4)","0.14 (0.11)","0.55 (0.17)","41.8 (20.5)","38.0 (9.0)"
"Big Butte","192.0 (110.3)","520.0 (207.6)","22.2 (14.4)","49.6 (14.3)","129.5 (80.5)","313.7 (69.7)","0.26 (0.16)","0.62 (0.15)","38.1 (9.2)","36.4 (8.5)"
"Briggs Secret","95.0 (60.8)","543.0 (207.2)","20.1 (19.6)","87.6 (22.8)","102.1 (95.1)","475.5 (120.4)","0.18 (0.17)","0.85 (0.21)","47.5 (22.3)","46.9 (7.5)"
"Elder Creek","133.0 (98.2)","674.0 (332.1)","14.4 (12.2)","75.7 (23.1)","81.8 (57.8)","444.0 (99.9)","0.15 (0.11)","0.84 (0.19)","36.8 (20.0)","40.1 (11.7)"
"Elliot Ridge","84.0 (91.2)","361.0 (195.1)","9.5 (13.8)","36.0 (9.0)","46.9 (49.6)","227.7 (70.0)","0.09 (0.10)","0.45 (0.14)","33.1 (19.0)","39.8 (12.3)"
"Emigrant Creek","248.0 (108.9)","596.0 (246.2)","14.3 (8.2)","66.2 (10.7)","96.5 (49.2)","410.8 (47.0)","0.19 (0.10)","0.80 (0.09)","27.6 (9.1)","39.6 (8.6)"
"Evans Creek","113.0 (81.0)","601.0 (143.5)","17.8 (14.6)","56.1 (14.5)","102.0 (73.3)","345.6 (71.9)","0.20 (0.15)","0.69 (0.13)","44.5 (16.3)","34.8 (5.9)"
"Grayback Creek","117.0 (72.3)","637.0 (110.9)","13.0 (13.6)","101.9 (16.9)","74.8 (72.9)","555.8 (54.2)","0.13 (0.13)","0.99 (0.10)","32.2 (12.4)","45.7 (7.5)"
"Star Gulch","68.0 (39.4)","725.0 (178.2)","13.0 (5.6)","39.8 (11.3)","60.5 (33.2)","298.0 (65.1)","0.11 (0.06)","0.56 (0.12)","50.0 (11.9)","26.8 (5.3)"
"Taylor Ridge","142.0 (101.0)","610.0 (155.7)","13.4 (11.2)","57.7 (15.7)","84.7 (67.8)","358.2 (78.2)","0.15 (0.12)","0.64 (0.14)","33.4 (10.5)","35.2 (6.3)"
"Trail Creek","149.1 (79.9)","415.5 (114.9)","19.7 (17.9)","45.0 (21.8)","111.8 (89.1)","278.0 (98.1)","0.22 (0.17)","0.55 (0.17)","37.6 (15.8)","37.5 (12.3)"
