"site_name","tree_mean_1911","tree_mean_2011","tree_min_1911","tree_max_1911","tree_min_2011","tree_max_2011"
"Ashland",27.6421115254237,201.039773898305,0,105.21836,28.32802,675.82562
"Big Butte",43.301402,216.911696,4.04686,84.98406,105.21836,392.54542
"Briggs Secret",52.204494,212.46015,16.18744,84.98406,93.07778,327.79566
"Elder Creek",47.752948,278.423968,8.09372,93.07778,157.82754,558.46668
"Elliot Ridge",24.28116,155.80411,0,89.03092,36.42174,258.99904
"Emigrant Creek",58.67947,242.8116,20.2343,89.03092,137.59324,457.29518
"Evans Creek",40.063914,252.92875,24.28116,56.65604,157.82754,348.02996
"Grayback Creek",46.943576,250.095948,4.04686,113.31208,174.01498,303.5145
"Star Gulch",19.020242,277.20991,0,72.84348,145.68696,424.9203
"Taylor Ridge",46.53889,243.620972,8.09372,97.12464,137.59324,339.93624
"Trail Creek",40.4686,168.128638181818,0,97.12464,76.89034,234.71788
